name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	485	407	0.0
Azorhizobium	6	genus	0	376	0	0.0
Azorhizobium caulinodans	7	species	5369772	22524	14262	0.0
Buchnera aphidicola	9	species	591578	1563	1216	0.0
Cellvibrio	10	genus	0	64	0	0.0
Cellulomonas gilvus	11	species	3526441	11220	6695	0.0
Dictyoglomus	13	genus	0	16	0	0.0
Dictyoglomus thermophilum	14	species	1959987	439	163	0.0
Methylophilus	16	genus	0	12	0	0.0
Pelobacter	18	genus	0	217	0	0.0
Pelobacter carbinolicus	19	species	3665893	4456	3131	0.0
Phenylobacterium	20	genus	0	233	0	0.0
Shewanella	22	genus	0	327	17	0.0
Shewanella putrefaciens	24	species	4749735	823	363	0.0
Myxococcales	29	order	0	4875	1	0.0
Myxococcaceae	31	family	0	971	0	0.0
Myxococcus	32	genus	0	3344	0	0.0
Myxococcus fulvus	33	species	10026214	42739	17667	0.0
Myxococcus xanthus	34	species	9139763	18216	7586	0.0
Myxococcus macrosporus	35	species	8973512	21363	4809	0.0
Archangiaceae	39	family	0	1640	0	0.0
Stigmatella	40	genus	0	95	0	0.0
Stigmatella aurantiaca	41	species	10260756	20689	12945	0.000117532
Cystobacter	42	genus	0	189	0	0.0
Cystobacter fuscus	43	species	12349744	25469	14182	0.0
Melittangium	44	genus	0	122	0	0.0
Archangium	47	genus	0	252	0	0.0
Archangium gephyra	48	species	12489432	28992	17181	0.0
Polyangiaceae	49	family	0	556	0	0.0
Chondromyces	50	genus	0	161	0	0.0
Chondromyces crocatus	52	species	11388132	21251	15622	0.000105896
Sorangium cellulosum	56	species	14124497	87439	66835	0
Vitreoscilla	59	genus	0	179	0	0.0
Vitreoscilla filiformis	63	species	3787551	6040	3883	0.000955205
Lysobacter	68	genus	0	1333	0	0.0
Lysobacter enzymogenes	69	species	6096022	21406	11420	0.0
Simonsiella	71	genus	0	4	0	0.0
Simonsiella muelleri	72	species	2469862	529	322	0.0
Caulobacter	75	genus	0	1844	0	0.0
Hyphomicrobium	81	genus	0	524	0	0.0
Hyphomonas	85	genus	0	141	0	0.0
Leptothrix	88	genus	0	565	0	0.0
Gallionella	96	genus	0	22	0	0.0
Cyclobacterium marinum	104	species	6221273	764	614	0.0
Runella	105	genus	0	19	0	0.0
Runella slithyformis	106	species	6919729	2353	1836	0.0
Spirosoma	107	genus	0	113	0	0.0
Planctomycetales	112	order	0	1145	0	0.0
Gemmata	113	genus	0	116	0	0.0
Planctomyces	118	genus	0	236	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	5392	4119	0.0
Planctopirus limnophila	120	species	5460085	3977	3001	0.0
Pirellula	123	genus	0	30	0	0.0
Pirellula staleyi	125	species	6196199	6166	4869	0.0
