LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LEN	LINEAR_DOC	ROLLUP_DOC	REL_ABUNDANCE
superkingdom	Bacteria	2	91791	7969828	379117	2044827	3.897556	1.764007	1.000000
phylum	Acidobacteria	57723	59124	5291555	277517	948722	5.577561	0.933348	0.529107
phylum	Proteobacteria	1224	31100	2539310	96667	970595	2.616241	0.780495	0.442456
phylum	Actinobacteria	201174	945	80532	2653	73168	1.100645	0.029353	0.016640
phylum	Firmicutes	1239	622	58431	2280	52342	1.116331	0.020811	0.011798
class	Acidobacteriia	204432	51498	4637867	242321	844568	5.491407	0.855500	0.484976
class	Alphaproteobacteria	28211	29774	2419301	92879	880670	2.747114	0.736095	0.417286
class	Solibacteres	332159	7626	653688	35196	104154	6.276168	0.077848	0.044131
class	Gammaproteobacteria	1236	951	86770	2684	59577	1.456435	0.032661	0.018515
class	Actinobacteria	1760	945	80532	2653	73168	1.100645	0.029353	0.016640
class	Negativicutes	909932	622	58431	2280	52342	1.116331	0.020811	0.011798
class	Betaproteobacteria	28216	375	33239	1104	30348	1.095262	0.011740	0.006655
order	Acidobacteriales	204433	51498	4637867	242321	844568	5.491407	0.855500	0.484976
order	Holosporales	1921002	4493	473517	9097	336275	1.408124	0.369401	0.209410
order	Rhizobiales	356	25281	1945784	83782	544395	3.574214	0.366694	0.207875
order	Solibacterales	332160	7626	653688	35196	104154	6.276168	0.077848	0.044131
order	Legionellales	118969	951	86770	2684	59577	1.456435	0.032661	0.018515
order	Micrococcales	85006	945	80532	2653	73168	1.100645	0.029353	0.016640
order	Selenomonadales	909929	622	58431	2280	52342	1.116331	0.020811	0.011798
order	Burkholderiales	80840	375	33239	1104	30348	1.095262	0.011740	0.006655
family	Acidobacteriaceae	204434	51498	4637867	242321	844568	5.491407	0.855500	0.484976
family	Caedimonadaceae	2100208	4493	473517	9097	336275	1.408124	0.369401	0.209410
family	Bradyrhizobiaceae	41294	25281	1945784	83782	544395	3.574214	0.366694	0.207875
family	Solibacteraceae	332161	7626	653688	35196	104154	6.276168	0.077848	0.044131
family	Legionellaceae	444	951	86770	2684	59577	1.456435	0.032661	0.018515
family	Microbacteriaceae	85023	945	80532	2653	73168	1.100645	0.029353	0.016640
family	Selenomonadaceae	1843491	622	58431	2280	52342	1.116331	0.020811	0.011798
family	Oxalobacteraceae	75682	375	33239	1104	30348	1.095262	0.011740	0.006655
genus	Caedimonas	2100210	4493	473517	9097	336275	1.408124	0.369401	0.209410
genus	Bradyrhizobium	374	24640	1891293	81375	507386	3.727523	0.345429	0.195821
genus	Granulicella	940557	11021	975930	41946	302142	3.230038	0.234311	0.132829
genus	Edaphobacter	388463	15680	1554472	85228	157418	9.874805	0.227065	0.128721
genus	Terracidiphilus	1768185	10474	833028	47105	119748	6.956509	0.181210	0.102726
genus	Acidobacteriaceae bacterium SBC82 - no_g_rank	0	8171	745573	37708	152372	4.893110	0.110151	0.062444
genus	Candidatus Solibacter	332162	7626	653688	35196	104154	6.276168	0.077848	0.044131
genus	Silvibacterium	1775468	4578	384545	23606	64824	5.932139	0.069931	0.039643
genus	Terriglobus	392733	1574	144319	6728	48064	3.002642	0.032833	0.018613
genus	Legionella	445	951	86770	2684	59577	1.456435	0.032661	0.018515
genus	Frondihabitans	447237	945	80532	2653	73168	1.100645	0.029353	0.016640
genus	Afipia	1033	641	54491	2407	37009	1.472372	0.021264	0.012055
genus	Propionispira	84034	622	58431	2280	52342	1.116331	0.020811	0.011798
genus	Collimonas	202907	375	33239	1104	30348	1.095262	0.011740	0.006655
species	Caedimonas varicaedens	1629334	4493	473517	9097	336275	1.408124	0.369401	0.209410
species	Bradyrhizobium erythrophlei	1437360	19903	1544642	66937	409343	3.773466	0.261033	0.147977
species	Edaphobacter aggregans	570835	15680	1554472	85228	157418	9.874805	0.227065	0.128721
species	Terracidiphilus gabretensis	1577687	10474	833028	47105	119748	6.956509	0.181210	0.102726
species	Acidobacteriaceae bacterium SBC82	2211140	8171	745573	37708	152372	4.893110	0.110151	0.062444
species	Granulicella rosea	474952	4497	398422	17289	94602	4.211560	0.101215	0.057378
species	Bradyrhizobium lablabi	722472	4737	346651	14438	98043	3.535704	0.084397	0.047844
species	Granulicella pectinivorans	474950	3717	346307	14925	88923	3.894459	0.081591	0.046253
species	Candidatus Solibacter usitatus	332163	7626	653688	35196	104154	6.276168	0.077848	0.044131
species	Silvibacterium bohemicum	1577686	4578	384545	23606	64824	5.932139	0.069931	0.039643
species	Granulicella tundricola	940615	2807	231201	9732	118617	1.949139	0.051504	0.029197
species	Terriglobus saanensis	870903	1574	144319	6728	48064	3.002642	0.032833	0.018613
species	Legionella drancourtii	168933	951	86770	2684	59577	1.456435	0.032661	0.018515
species	Frondihabitans sp. PAMC 28766	1795630	945	80532	2653	73168	1.100645	0.029353	0.016640
species	Afipia broomeae	56946	641	54491	2407	37009	1.472372	0.021264	0.012055
species	Propionispira raffinosivorans	86959	622	58431	2280	52342	1.116331	0.020811	0.011798
species	Collimonas arenae	279058	375	33239	1104	30348	1.095262	0.011740	0.006655
