 88.38	95980802	95980802	U	0	unclassified
 11.62	12614256	1615	R	1	root
 11.61	12602461	23397	R1	131567	  cellular organisms
 11.35	12327536	510192	D	2	    Bacteria
  6.31	6851981	415283	P	1224	      Proteobacteria
  3.11	3376642	165548	C	28211	        Alphaproteobacteria
  1.99	2160887	121665	O	356	          Rhizobiales
  1.05	1134979	62537	F	41294	            Bradyrhizobiaceae
  0.76	819978	150866	G	374	              Bradyrhizobium
  0.26	285022	285022	S	1437360	                Bradyrhizobium erythrophlei
  0.08	87152	87152	S	722472	                Bradyrhizobium lablabi
  0.04	38745	38745	S	2057741	                Bradyrhizobium sp. SK17
  0.03	33503	33503	S	1274631	                Bradyrhizobium icense
  0.02	25692	25001	S	1355477	                Bradyrhizobium diazoefficiens
  0.00	691	691	S1	224911	                  Bradyrhizobium diazoefficiens USDA 110
  0.02	24840	24840	S	288000	                Bradyrhizobium sp. BTAi1
  0.02	20836	0	S	44255	                Bradyrhizobium oligotrophicum
  0.02	20836	20836	S1	1245469	                  Bradyrhizobium oligotrophicum S58
  0.02	19265	15856	S	375	                Bradyrhizobium japonicum
  0.00	3378	3378	S1	476282	                  Bradyrhizobium japonicum SEMIA 5079
  0.00	31	31	S1	1037409	                  Bradyrhizobium japonicum USDA 6
  0.02	19136	19136	S	114615	                Bradyrhizobium sp. ORS 278
  0.02	17936	17936	S	115808	                Bradyrhizobium sp. ORS 285
  0.01	15813	15813	S	167468	                Bradyrhizobium sp. ORS 3257
  0.01	15394	15394	S	335659	                Bradyrhizobium sp. S23321
  0.01	15076	15076	S	931866	                Bradyrhizobium ottawaense
  0.01	14091	14091	S	1223566	                Bradyrhizobium sp. CCGE-LA001
  0.01	12211	12211	S	1404768	                Bradyrhizobium sp. 2 39S1MB
  0.01	9693	9693	S	1404367	                Bradyrhizobium sp. 3 85S1MB
  0.01	9141	9141	S	376	                Bradyrhizobium sp.
  0.01	5566	5566	S	319017	                Bradyrhizobium sp. WSM471
  0.12	128872	0	G	1073	              Rhodopseudomonas
  0.12	128872	38484	S	1076	                Rhodopseudomonas palustris
  0.02	21794	21794	S1	316056	                  Rhodopseudomonas palustris BisB18
  0.02	19492	19492	S1	316055	                  Rhodopseudomonas palustris BisA53
  0.01	16096	16096	S1	316058	                  Rhodopseudomonas palustris HaA2
  0.01	14388	14388	S1	316057	                  Rhodopseudomonas palustris BisB5
  0.01	11118	11118	S1	652103	                  Rhodopseudomonas palustris DX-1
  0.00	3775	3775	S1	258594	                  Rhodopseudomonas palustris CGA009
  0.00	3725	3725	S1	395960	                  Rhodopseudomonas palustris TIE-1
  0.04	42719	3152	G	85413	              Bosea
  0.01	10479	10479	S	1526658	                Bosea vaviloviae
  0.01	10132	10132	S	1842539	                Bosea sp. RAC05
  0.01	9798	9798	S	2015316	                Bosea sp. AS-1
  0.01	9158	9158	S	1792307	                Bosea sp. PAMC 26642
  0.02	25717	0	G	1033	              Afipia
  0.02	25717	25717	S	1882747	                Afipia sp. GAS231
  0.02	24477	747	G	911	              Nitrobacter
  0.01	16128	0	S	912	                Nitrobacter hamburgensis
  0.01	16128	16128	S1	323097	                  Nitrobacter hamburgensis X14
  0.01	7602	0	S	913	                Nitrobacter winogradskyi
  0.01	7602	7602	S1	323098	                  Nitrobacter winogradskyi Nb-255
  0.01	11885	0	F1	81426	              unclassified Bradyrhizobiaceae
  0.01	11885	11885	S	709797	                Bradyrhizobiaceae bacterium SG-6C
  0.01	10118	0	G	1649510	              Variibacter
  0.01	10118	10118	S	1333996	                Variibacter gotjawalensis
  0.01	8676	0	G	40136	              Oligotropha
  0.01	8676	8588	S	40137	                Oligotropha carboxidovorans
  0.00	74	74	S1	504832	                  Oligotropha carboxidovorans OM5
  0.00	14	14	S1	1031710	                  Oligotropha carboxidovorans OM4
  0.22	243324	10382	F	82115	            Rhizobiaceae
  0.15	165178	8906	F1	227290	              Rhizobium/Agrobacterium group
  0.10	113555	31867	G	379	                Rhizobium
  0.03	27728	12574	S	384	                  Rhizobium leguminosarum
  0.01	10599	359	S1	386	                    Rhizobium leguminosarum bv. trifolii
  0.00	3753	3753	S2	395492	                      Rhizobium leguminosarum bv. trifolii WSM2304
